"","County","Site","layer","metric","gridrows","gridcols","Agent_type","row","col","network_ID","Agent_ID","V1_infected","Ha_infected","Age","Kill","Ha_infection_timer","V1_infection_timer","tick_links","locs","movement","prob"
"1","Cattaraugus","Allegany State Park",26184,0.856787587335839,4802,4802,"Mouse",4441,1409,3,64120,0,0,24,0,0,0,0,"4441,1409,3",9,0.99999997462146
"2",NA,NA,29759,0.7546649,8433,8433,"Mouse",5256,5414,3,1759365,0,0,24,0,0,0,0,"5256,5414,3",7,0.999999600229785
"3","Cattaraugus","Allegany State Park - Thunder Rocks",29759,0.754664932203501,8433,8433,"Mouse",3977,4767,3,750172,0,0,24,0,0,0,0,"3977,4767,3",8,0.999999582301825
"4",NA,NA,23192,0.839494428120484,6603,6603,"Mouse",4576,5602,3,1197815,0,0,24,0,0,0,0,"4576,5602,3",3,0.99999908474274
"5",NA,NA,26184,0.856787587335839,4802,4802,"Mouse",121,3300,3,1431466,0,0,24,0,0,0,0,"121,3300,3",1,0.999998475890607
"6",NA,NA,23192,0.839494428120484,6603,6603,"Mouse",2513,4931,3,1069032,0,0,24,0,0,0,0,"2513,4931,3",4,0.999997877748683
