"","origin_ID","network_ID","tot_sin","destination_ID","lcp_distance","distance","inverse_sinuousity","probability"
"1",22138,3,8.53343054066794,26184,10775.6314898185,8900.94166287199,0.82602506138802,0.0967987092004109
"2",22138,3,8.53343054066794,23192,13011.751764212,9551.72647482758,0.734084591215381,0.0860245580856304
"3",22138,3,8.53343054066794,27866,8863.71034899502,8069.31919157735,0.910377130328075,0.10668360467569
"4",22138,3,8.53343054066794,26853,6871.01845959571,5708.74465164922,0.830844027740412,0.097363425386876
"5",22138,3,8.53343054066794,26740,6359.53076007366,5829.96197431779,0.916728323875622,0.10742787669118
"6",22138,3,8.53343054066794,26657,5026.11214740592,4774.24820352562,0.949888912842845,0.111313838943897
"7",22138,3,8.53343054066794,26479,7364.75318955511,5737.3885605193,0.779033378695734,0.0912919341152517
"8",22138,3,8.53343054066794,26203,6736.98880233136,5299.18041610037,0.786579964963957,0.092176289619437
"9",22138,3,8.53343054066794,26009,4465.36258881329,4249.69418117116,0.951701927144187,0.111526299137099
"10",22138,3,8.53343054066794,24365,4483.11555837632,3802.43167117669,0.848167222473704,0.0993934641445286
"11",23192,3,8.43894929683317,26184,4959.09731877446,4861.43339069412,0.980306107784859,0.116164474190256
"12",23192,3,8.43894929683317,25399,6810.88159093754,6509.20245529594,0.955718800791967,0.113250923447379
"13",23192,3,8.43894929683317,28536,8510.88323627738,7728.62893738012,0.908087765137827,0.107606733160324
"14",23192,3,8.43894929683317,22138,13011.751764212,9551.72647482758,0.734084591215381,0.0869876764742331
"15",23192,3,8.43894929683317,26853,6585.20617550714,5938.51131442172,0.901795806562486,0.106861147619514
"16",23192,3,8.43894929683317,26740,7645.02947698798,7010.12363774884,0.916951812788917,0.108657106534935
"17",23192,3,8.43894929683317,26479,5781.02823192174,5490.66396386103,0.949772902602796,0.112546345427056
"18",23192,3,8.43894929683317,26203,6366.4087200489,5959.81522012938,0.936134559089949,0.110930226757168
"19",23192,3,8.43894929683317,26009,9757.99510370465,6229.07067612216,0.638355585335073,0.0756439650105049
"20",23192,3,8.43894929683317,24365,11293.9971493142,5847.36950630914,0.517741365523915,0.0613514013786295
"21",24365,3,5.97371762900704,26184,9082.5078044542,5489.26506204912,0.604382132230588,0.10117353543727
"22",24365,3,5.97371762900704,23192,11293.9971493142,5847.36950630914,0.517741365523915,0.0866698758926734
"23",24365,3,5.97371762900704,22138,4483.11555837632,3802.43167117669,0.848167222473704,0.141983146032078
"24",24365,3,5.97371762900704,26853,5153.26384469523,2807.1196631655,0.544726555395595,0.0911871951815272
"25",24365,3,5.97371762900704,26740,4641.77614517529,3595.3545254599,0.77456439367438,0.129662036570538
"26",24365,3,5.97371762900704,26657,3216.71177434118,2946.00343221177,0.915843146318307,0.153312091932698
"27",24365,3,5.97371762900704,26479,5646.99857465633,2566.13385824895,0.454424385684411,0.0760706169769103
"28",24365,3,5.97371762900704,26203,5019.23418743113,2391.20223235287,0.476407783151617,0.0797506364944816
"29",24365,3,5.97371762900704,26009,1717.75461489833,1438.55188697926,0.837460644554522,0.140190865481823
"30",25399,3,3.78490534423525,26184,7085.0493919174,6403.69211972694,0.903837860858234,0.238800651180051
"31",25399,3,3.78490534423525,29759,9625.50439348537,9132.63773912616,0.948801971045657,0.250680501823055
"32",25399,3,3.78490534423525,28536,5964.31974825625,5824.43683672909,0.976546711539392,0.258010867570773
"33",25399,3,3.78490534423525,23192,6810.88159093754,6509.20245529594,0.955718800791967,0.25250797942612
"34",26009,3,5.74705315181225,26184,7521.87482931071,4651.62581458204,0.618413084521949,0.107605248844261
"35",26009,3,5.74705315181225,23192,9757.99510370465,6229.07067612216,0.638355585335073,0.111075288234245
"36",26009,3,5.74705315181225,22138,4465.36258881329,4249.69418117116,0.951701927144187,0.165598246963156
"37",26009,3,5.74705315181225,26853,3617.26179908833,1546.55170972665,0.427547630120781,0.0743942362854188
"38",26009,3,5.74705315181225,26740,3142.81898573239,2169.57878671213,0.690328904261261,0.120118761046011
"39",26009,3,5.74705315181225,26657,1717.7546148991,1541.14902191255,0.897188113217832,0.1561127223845
"40",26009,3,5.74705315181225,26479,4061.73466997716,1491.32652695598,0.367164930289345,0.0638875125373714
"41",26009,3,5.74705315181225,26203,3483.23214182433,1110.7760218831,0.318892332367298,0.0554879733915007
"42",26009,3,5.74705315181225,24365,1717.75461489833,1438.55188697926,0.837460644554522,0.145720010313536
"43",26184,3,14.3857016932615,30145,4160.25838811865,3991.66152719214,0.959474425577025,0.0666963938246028
"44",26184,3,14.3857016932615,29759,8577.89806490889,7632.31255973816,0.889764893681938,0.0618506425792714
"45",26184,3,14.3857016932615,29691,4835.74568736885,3941.26865782679,0.815028107892756,0.0566554294862466
"46",26184,3,14.3857016932615,29419,2911.60757364395,2690.49080560392,0.924056809701419,0.0642343925520339
"47",26184,3,14.3857016932615,28752,3192.08084480495,3141.14292149321,0.984042408138052,0.068404199469741
"48",26184,3,14.3857016932615,28536,3819.84523202785,3533.36830048655,0.925003000346898,0.0643001655442489
"49",26184,3,14.3857016932615,27866,6116.10237508207,5811.01940240369,0.950118072921516,0.0660460013129958
"50",26184,3,14.3857016932615,26853,4349.08590111246,3262.47394886525,0.750151646356476,0.0521456417178356
"51",26184,3,14.3857016932615,26740,5396.69222968995,3710.57394128908,0.687564490128846,0.0477949914984621
"52",26184,3,14.3857016932615,26657,5841.16510057966,4601.24198457716,0.787726747206742,0.0547576172510045
"53",26184,3,14.3857016932615,26479,3544.90795752721,3164.60561248757,0.892718696903791,0.0620559716820733
